epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1464760072,06/01/2016 01:47:52 -04:00,4,40.4631,-79.9443,15224,,,
1464793985,06/01/2016 11:13:05 -04:00,1,40.4492,-79.9513,15213,,,
1464899345,06/02/2016 16:29:05 -04:00,3,40.4429,-79.9448,15213,Steel mill and burned smell,,
1464900664,06/02/2016 16:51:04 -04:00,4,40.4475,-79.9521,15213,tar smell near CMU - yuck,,
1464977877,06/03/2016 14:17:57 -04:00,4,40.4294,-79.9553,15213,"Burning metal, maybe welding",,
1465072434,06/04/2016 16:33:54 -04:00,3,40.4874,-79.8745,15238,industrial.  winds SSE 4 mph,,
1465313151,06/07/2016 11:25:51 -04:00,2,40.4443,-79.9477,15213,,,
1465487684,06/09/2016 11:54:44 -04:00,4,40.4386,-79.9876,15219,asphalt plant. ,,
1466104632,06/16/2016 15:17:12 -04:00,1,40.4431,-79.9466,15213,,,
1466104704,06/16/2016 15:18:24 -04:00,2,40.4429,-79.9445,15213,test Bes,,
1466104780,06/16/2016 15:19:40 -04:00,3,40.4442,-79.9445,15213,test - Bea,,
1466116818,06/16/2016 18:40:18 -04:00,5,40.467,-79.9235,15206,test Bea,,
1466426293,06/20/2016 08:38:13 -04:00,3,40.4896,-79.8766,15238,industrial coking/steel.  winds south 5 mph ,,
1466516145,06/21/2016 09:35:45 -04:00,1,40.4321,-79.8924,15218,,,
1466649903,06/22/2016 22:45:03 -04:00,1,40.4223,-79.9236,15217,,,
1466793458,06/24/2016 14:37:38 -04:00,1,40.4432,-79.9478,15213,,,
1467142042,06/28/2016 15:27:22 -04:00,3,40.6314,-80.0553,15090,"industrial smell, acrid chemical mix. ",wanted to get inside somewhere to escape it. ,
1467270056,06/30/2016 03:00:56 -04:00,4,40.4212,-79.9193,15217,"sulfur, rotten eggs",woke me up. had to close Windows,
1467288537,06/30/2016 08:08:57 -04:00,5,40.4868,-79.8751,15238,industrial. sulfur metal. ,,
1467288936,06/30/2016 08:15:36 -04:00,5,40.4853,-79.8758,15238,industrial sulfur metal. winds from south south west 4 mph ,,
1467289865,06/30/2016 08:31:05 -04:00,4,40.4218,-79.9263,15217,"Ackrid, industrial smell. Smells like Clairton Coke Works.",stuffy nose,
1467291203,06/30/2016 08:53:23 -04:00,5,40.4637,-79.9306,15206,Coke pollution,,
1467299391,06/30/2016 11:09:51 -04:00,2,40.4438,-79.9915,15219,"slight tar, asphalt smell",,
1467300952,06/30/2016 11:35:52 -04:00,5,40.421,-79.9239,15217,"pervasive, horrible, acrid, industrial stench that has invaded every room in our house. no escape!","sore throat, mild headache",
1467369348,07/01/2016 06:35:48 -04:00,4,40.4698,-79.9245,15206,Coke pollution,,
1467375442,07/01/2016 08:17:22 -04:00,4,40.4211,-79.9184,15217,burning sulfur ,,
1467378768,07/01/2016 09:12:48 -04:00,3,40.4863,-79.8741,15238,industrial. sulfur metal. winds S - 4 mph ,,
1467533950,07/03/2016 04:19:10 -04:00,4,40.4225,-79.9212,15217,sulfur,woke me up. had to close the windows.,
1467652909,07/04/2016 13:21:49 -04:00,3,40.4212,-79.9195,15217,sulfur,,
1467655653,07/04/2016 14:07:33 -04:00,3,40.4704,-79.9265,15206,,,
1467830207,07/06/2016 14:36:47 -04:00,1,40.4285,-79.9839,15203,,,
1468088355,07/09/2016 14:19:15 -04:00,3,40.4785,-79.9565,15201,smells like burning tires,,
1468239644,07/11/2016 08:20:44 -04:00,3,40.4203,-79.9198,15217,burned,,
1468242658,07/11/2016 09:10:58 -04:00,2,40.4227,-79.9258,15217,,,
1468307040,07/12/2016 03:04:00 -04:00,4,40.422,-79.9189,15217,sulfur,,
1468331887,07/12/2016 09:58:07 -04:00,3,40.4214,-79.924,15217,acrid combustion smell,,
1468354172,07/12/2016 16:09:32 -04:00,3,40.4626,-79.932,15206,,,
1468365694,07/12/2016 19:21:34 -04:00,2,40.3667,-80.0826,15243,,,
1468765292,07/17/2016 10:21:32 -04:00,3,40.42,-79.9257,15217,slight industrial smell,,
1468848213,07/18/2016 09:23:33 -04:00,4,40.4313,-79.9965,15219,chalky burning,,
1469020635,07/20/2016 09:17:15 -04:00,1,40.4276,-79.8847,15218,ok - initial app test,,
1469100127,07/21/2016 07:22:07 -04:00,4,40.4225,-79.9235,15217,strong industrial smell of Clairton iCoke Works? n the air. Kept me from jogging.,,
1469100338,07/21/2016 07:25:38 -04:00,5,40.4696,-79.9272,15206,intense Coke pollution,headache,
1469101557,07/21/2016 07:45:57 -04:00,5,40.4228,-79.9213,15217,sulfur,short breath,
1469103550,07/21/2016 08:19:10 -04:00,5,40.4207,-79.9262,15217,Smells so bad I can nearly taste it! Unbearable!!,,
1469107878,07/21/2016 09:31:18 -04:00,3,40.5126,-79.8693,15238,sulfur metal industrial.  winds sse 2 mph,,
1469191101,07/22/2016 08:38:21 -04:00,2,40.4872,-79.8948,15238,sulfury,,
1469198345,07/22/2016 10:39:05 -04:00,1,40.4405,-79.9478,15213,,,"{""additional_comments"":null,""tags"":[""odor""],""img"":{}}"
1469198658,07/22/2016 10:44:18 -04:00,2,40.4212,-79.923,15217,Intermittent metallic smell in Squirrel Hill.,,
1469207437,07/22/2016 13:10:37 -04:00,4,40.4213,-79.9246,15217,"Smell got bad as soon as the rain departed. Horrible, industrial smell.",congestion ,
1469211466,07/22/2016 14:17:46 -04:00,1,40.4294,-79.8824,15218,android alpha test,,
1469211934,07/22/2016 14:25:34 -04:00,1,40.4266,-79.8821,15218,Android alpha test 3,,
1469212295,07/22/2016 14:31:35 -04:00,2,40.4816,-79.9757,15209,,,
1469213467,07/22/2016 14:51:07 -04:00,1,40.4287,-79.8835,15218,Android test #5 - non-alpha 0.0.2 - tablet 5.x.x os,,
1469215124,07/22/2016 15:18:44 -04:00,1,40.4286,-79.8848,15218,android test #6 - alpha 0.0.1 - samsung victory,,
